     bench &    program &      lines &  char cast & phant.cast &     sizeof &     uninit
    CPU2006&       NAMD &      3,887 &      0/0   &      0/0   &      1/0   &      0/0  
    CPU2006&    deal.II &     94,832 &      1/0   &      0/0   &     51/0   &      0/0  
    CPU2006&     SoPlex &     28,277 &     15/0   &      0/0   &      3/0   &      0/0  
    CPU2006&    POV-Ray &     78,679 &      0/0   &      0/0   &    223/59  &      9/3  
    CPU2006&    OMNeT++ &     26,647 &      0/0   &      0/0   &      7/1   &      0/0  
    CPU2006&      Astar &      4,280 &      0/0   &      0/0   &      9/0   &      0/0  
    CPU2006&  Xalan-C++ &    264,389 &      5/0   &      0/0   &     13/0   &      1/0  
    CPU2017&  CactuBSSN &     63,307 &      0/0   &      0/0   &      1/0   &      0/0  
    CPU2017&       NAMD &      6,396 &      0/0   &      0/0   &      6/0   &      0/0  
    CPU2017&     Parest &    359,012 &     72/0   &      0/0   &    101/0   &      0/0  
    CPU2017&    POV-Ray &     80,079 &      0/0   &      0/0   &    223/59  &      9/3  
    CPU2017&    Blender &    615,895 &     14/0   &      0/0   &     15/8   &      0/0  
    CPU2017&    OMNeT++ &     85,732 &      0/0   &      0/0   &     35/1   &      2/0  
    CPU2017&  Xalan-C++ &    291,160 &     24/3   &      0/0   &    259/1   &      0/0  
    CPU2017& Deep Sjeng &      7,284 &      0/0   &      0/0   &      7/0   &      0/0  
    CPU2017&      Leela &     30,524 &      0/0   &      0/0   &      3/0   &      0/0  
          -&        Sum &  2,040,380 &    131/3   &      0/0   &    957/129 &     21/6 
